project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
gradio,2021/8/16,202,8,2.9,5,950,970,20,5,2,3729,3729,0,0,0.5,91,0,1,150090,750,0,2,40,4,0,0,0,0,3,95,32,2,27,95,31,py=5003,69,422,3881,1018,16.9,6996,65,5003,8,6,0,0,0,0,0,14,0,4
gradio,2021/8/23,202,8,2.9,5,950,970,20,5,2,3729,3729,0,0,0.5,91,0,1,150090,750,0,2,40,4,0,0,0,0,3,95,32,2,27,95,31,py=5003,69,422,3881,1018,16.9,6996,65,5003,8,6,0,0,0,0,0,14,0,4
gradio,2021/8/30,202,8,2.8,5,971,998,20,5,2,3808,3808,0,0,0.5,90,0,1,154140,751,0,2,40,4,0,0,0,0,3,94,32,0,28,94,31,py=5138,71,427,3960,1021,16.6,7151,66,5138,8,7,0,0,0,0,0,14,0,4
gradio,2021/9/6,202,8,2.8,5,971,998,20,5,2,3808,3808,0,0,0.5,90,0,1,154140,751,0,2,40,4,0,0,0,0,3,94,32,0,28,94,31,py=5138,71,427,3960,1021,16.6,7151,66,5138,8,7,0,0,0,0,0,14,0,4
gradio,2021/9/13,202,8,2.8,5,971,998,20,5,2,3816,3816,0,0,0.5,91,0,1,154380,756,0,2,40,4,0,0,0,0,3,95,32,0,29,95,31,py=5146,71,427,3968,1025,16.6,7140,66,5146,8,7,0,0,0,0,0,14,0,4
gradio,2021/9/20,202,8,2.8,5,978,1005,20,5,2,3842,3842,0,0,0.5,91,0,1,155700,756,0,2,40,4,0,0,0,0,3,95,32,0,29,95,31,py=5190,72,430,3994,1025,16.5,7188,66,5190,8,7,0,0,0,0,0,14,0,4
gradio,2021/9/27,202,8,2.8,5,983,1010,20,5,2,3839,3839,0,0,0.5,92,0,1,156240,777,0,2,40,4,0,0,0,0,3,96,33,0,29,96,31,py=5208,72,429,3991,1038,16.6,7203,66,5208,9,7,0,0,0,0,0,14,0,4
gradio,2021/10/4,206,8,2.9,5,981,1004,20,5,2,3811,3811,0,0,0.5,89,0,1,157290,761,0,2,40,4,0,0,0,0,3,93,31,0,29,93,30,py=5243,72,427,3961,1006,16.1,7194,66,5243,9,6,0,0,0,0,0,13,0,4
gradio,2021/10/11,196,8,2.8,5,974,1009,20,5,2,3759,3759,0,0,0.5,83,0,1,154770,732,0,2,40,4,0,0,0,0,3,87,31,0,28,87,25,py=5159,72,415,3902,991,16.1,7068,70,5159,9,6,0,0,0,0,0,0,0,3
gradio,2021/10/18,196,8,2.7,5,1022,1043,20,5,2,3906,3906,0,0,0.5,89,0,1,160050,762,0,2,40,4,0,0,0,0,3,93,33,0,29,93,28,py=5335,74,445,4051,1013,16,7313,72,5335,9,6,0,0,0,0,0,0,0,2
gradio,2021/10/25,214,8,2.7,5,1096,1063,20,5,2,4240,4240,0,0,0.5,94,0,1,171420,782,0,2,40,4,0,0,0,0,3,98,34,1,29,98,31,py=5714,74,504,4411,1161,16.9,7889,85,5714,9,6,0,0,0,4,0,8,0,2
gradio,2021/11/1,180,6,2.1,4,1150,1077,20,5,2,4801,4801,0,0,0.4,103,0,1,194400,816,0,2,40,4,0,0,0,0,3,107,37,1,30,107,36,py=6480,75,547,4974,1186,15.5,8761,93,6480,9,8,0,0,0,4,0,8,0,3
gradio,2021/11/8,180,6,2,4,1184,1085,20,5,2,5011,5011,0,0,0.4,107,0,1,202530,827,0,2,40,4,0,0,0,0,3,111,37,2,30,111,39,py=6751,76,576,5191,1251,15.6,9171,98,6751,10,8,0,0,0,6,0,9,0,5
gradio,2021/11/15,180,6,2,4,1183,1084,20,5,2,5011,5011,0,0,0.4,107,0,1,202560,824,0,2,40,4,0,0,0,0,3,111,37,3,29,111,39,py=6752,76,576,5189,1247,15.6,9171,98,6752,9,8,0,0,0,6,0,7,0,5
gradio,2021/11/22,180,6,2,4,1172,1079,20,5,2,4962,4962,0,0,0.4,105,0,1,200760,819,0,2,40,4,0,0,0,0,3,109,37,3,29,109,37,py=6692,74,568,5134,1202,15.2,9034,93,6692,9,8,0,0,0,6,0,8,0,3
gradio,2021/11/29,180,6,2,4,1172,1079,20,5,2,4963,4963,0,0,0.4,105,0,1,200850,819,0,2,40,4,0,0,0,0,3,109,37,3,29,109,37,py=6695,74,568,5135,1203,15.2,9038,93,6695,9,8,0,0,0,6,0,8,0,3
gradio,2021/12/6,180,6,2,4,1172,1079,20,5,2,4963,4963,0,0,0.4,105,0,1,200850,819,0,2,40,4,0,0,0,0,3,109,37,3,29,109,37,py=6695,74,568,5135,1203,15.2,9038,93,6695,9,8,0,0,0,6,0,8,0,3
gradio,2021/12/13,216,8,2.3,6,1219,1165,20,5,2,5149,5149,0,0,0.4,105,0,1,207000,842,0,2,40,4,0,0,0,0,3,109,34,3,30,109,39,py=6900,78,570,5322,1202,14.8,9259,94,6900,9,7,0,0,0,6,0,7,0,3
gradio,2021/12/20,216,8,2.2,6,1254,1212,20,5,2,5310,5310,0,0,0.4,114,0,1,214800,883,0,2,40,4,0,0,0,0,3,118,36,5,32,118,42,py=7160,80,584,5493,1297,15.3,9662,100,7160,9,8,0,0,0,6,0,10,0,7
gradio,2021/12/27,216,8,2.2,6,1286,1235,10,5,1,5370,5370,0,0,0.4,116,0,1,222540,956,0,2,40,4,0,0,0,0,1,119,41,4,33,119,40,py=7418,82,595,5553,1334,15.2,10007,101,7418,9,9,0,0,0,6,0,14,0,7
gradio,2022/1/3,200,8,2,6,1290,1246,10,5,1,5351,5351,0,0,0.4,123,0,1,225900,970,0,2,40,4,0,0,0,0,1,126,46,4,34,126,41,py=7530,82,590,5540,1355,15.3,10135,99,7530,8,9,0,0,0,6,0,13,0,7
gradio,2022/1/10,200,8,2,6,1297,1260,10,5,1,5367,5367,0,0,0.4,123,0,1,226800,978,0,2,40,4,0,0,0,0,1,126,46,4,34,126,41,py=7560,82,590,5556,1361,15.3,10176,99,7560,8,9,0,0,0,6,0,13,0,7
gradio,2022/1/17,8838,26,43.4,9,1321,1307,10,5,1,5429,5429,0,0,0.2,128,0,1,525180,1027,0,2,40,4,0,0,0,0,1,131,49,4,36,131,41,py=17506,82,591,5618,1358,7.2,20354,99,17506,8,8,0,0,0,6,0,10,0,1
gradio,2022/1/24,8838,26,42.9,9,1341,1304,10,5,1,5580,5580,0,0,0.2,126,0,1,531300,1010,0,2,40,4,0,0,0,0,1,129,48,4,35,129,41,py=17710,85,608,5779,1336,7,20593,106,17710,6,7,0,0,0,6,0,0,0,1
gradio,2022/1/31,8838,26,42.5,9,1364,1344,10,5,1,5701,5701,0,0,0.2,132,0,1,536820,1056,0,2,40,4,0,0,0,0,1,135,49,4,39,135,42,py=17894,86,614,5900,1343,7,20796,106,17894,6,7,0,0,0,6,0,0,0,1
gradio,2022/2/7,8838,26,42.4,9,1366,1345,0,1,0,5686,5686,0,0,0.2,130,0,1,537390,1032,0,3,45,4,0,0,0,0,0,133,51,4,39,133,39,py=17913,87,613,5885,1355,7,20845,106,17913,6,7,0,0,0,6,0,0,0,1
gradio,2022/2/14,8838,26,42.2,9,1372,1345,0,1,0,5703,5703,0,0,0.2,130,0,1,539100,1028,0,3,45,4,0,0,0,0,0,133,50,4,39,133,40,py=17970,87,619,5905,1373,7.1,20930,108,17970,6,7,0,0,0,6,0,0,0,1
gradio,2022/2/21,8838,26,42.2,9,1376,1350,0,1,0,5717,5717,0,0,0.2,131,0,1,540060,1032,0,3,45,4,0,0,0,0,0,134,50,5,39,134,40,py=18002,87,620,5919,1375,7.1,20967,109,18002,6,7,0,0,0,6,0,0,0,1
gradio,2022/2/28,8838,26,41.4,9,1420,1381,0,1,0,5928,5928,0,0,0.2,133,0,1,548460,1034,0,3,45,4,0,0,0,0,0,136,51,8,37,136,40,py=18282,92,644,6132,1400,7.1,21352,127,18282,6,7,0,0,0,7,0,10,0,1
gradio,2022/3/7,8838,26,41.4,9,1424,1385,0,1,0,5937,5937,0,0,0.2,134,0,1,549030,1040,0,3,45,4,0,0,0,0,0,137,51,8,38,137,40,py=18301,92,644,6141,1400,7.1,21371,127,18301,6,7,0,0,0,7,0,10,0,1
gradio,2022/3/14,8732,24,39.8,8,1413,1353,0,1,0,5899,5899,0,0,0.2,139,0,1,555540,1065,0,3,45,4,0,0,0,0,0,142,50,15,37,142,40,py=18518,93,644,6146,1710,8.5,21922,141,18518,6,7,0,0,0,7,0,10,0,1
gradio,2022/3/21,8810,26,39.1,9,1451,1359,0,1,0,6070,6070,0,0,0.2,139,0,1,564300,1079,0,3,45,4,0,0,0,0,0,142,53,11,37,142,41,py=18810,95,682,6353,1949,9.4,22504,141,18810,6,7,0,0,0,7,0,10,0,1
gradio,2022/3/28,8778,24,39.1,7,1418,1305,0,1,0,5876,5876,0,0,0.2,134,0,1,562110,1022,0,3,45,4,0,0,0,0,0,137,51,13,36,137,37,py=18737,98,665,6171,1996,9.6,22469,137,18737,6,9,0,0,0,8,0,10,0,1
gradio,2022/4/4,8918,28,40.9,11,1476,1420,3,3,1,6131,6131,0,0,0.2,140,0,1,558360,1067,0,3,45,4,0,0,0,0,0,144,52,8,39,144,45,py=18612,95,671,6345,1472,7.3,21808,132,18612,6,7,0,0,0,7,0,10,0,2
gradio,2022/4/11,8918,28,40.7,11,1488,1436,3,3,1,6187,6187,0,0,0.2,139,0,1,560730,1063,0,3,45,4,0,0,0,0,0,143,52,8,40,143,43,py=18691,95,678,6404,1489,7.4,21915,133,18691,7,7,0,0,0,7,0,10,0,2
gradio,2022/4/18,10213,84,38.9,13,1646,1499,0,1,0,7101,7101,0,0,0.2,168,0,1,649830,1231,0,3,45,4,0,0,0,0,0,171,58,13,47,171,53,py=21661,116,794,7484,2453,10.2,26249,187,21661,7,18,0,0,0,13,0,10,0,10
gradio,2022/4/25,9183,36,36.6,10,1596,1505,0,1,0,6567,6567,0,0,0.2,152,0,1,618120,1236,0,3,45,4,0,0,0,0,0,155,57,10,47,155,41,py=20604,119,743,6952,2447,10.6,25099,159,20604,7,12,0,0,0,8,0,10,0,9
gradio,2022/5/2,8788,24,35.3,8,1584,1525,0,1,0,6595,6595,0,0,0.2,150,0,1,618540,1227,0,3,45,4,0,0,0,0,0,153,58,9,45,153,41,py=20618,121,716,6948,2215,9.7,24882,166,20618,7,12,0,0,0,8,0,11,0,9
gradio,2022/5/9,9196,36,35.1,8,1664,1570,15,4,3,6857,6857,0,0,0.2,167,0,1,651240,1414,0,3,45,4,0,0,0,0,0,173,63,9,57,173,44,py=21708,126,760,7213,2327,9.7,26190,165,21708,6,12,0,0,0,7,0,12,0,5
gradio,2022/5/16,9122,34,34.2,8,1722,1623,10,4,2,7036,7036,0,0,0.2,170,0,1,662190,1474,0,3,45,4,0,0,0,0,0,175,60,7,58,175,50,py=22073,130,783,7411,2391,9.8,26670,169,22073,6,12,0,0,0,8,0,12,0,5
gradio,2022/5/23,9068,34,33.5,8,1773,1700,10,4,2,7191,7191,0,0,0.2,179,0,1,670890,1553,0,3,45,4,0,0,0,0,0,184,62,8,64,184,50,py=22363,132,795,7572,2429,9.8,27034,169,22363,6,12,0,0,0,8,0,12,0,5
gradio,2022/5/30,9036,32,33,8,1825,1751,10,4,2,7348,7348,0,0,0.2,192,0,1,680040,1698,0,3,45,4,0,0,0,0,0,197,63,9,75,197,50,py=22668,133,819,7731,2445,9.7,27415,169,22668,6,12,0,0,0,8,0,12,0,5
gradio,2022/6/6,9036,32,32.7,8,1856,1795,10,4,2,7443,7443,0,0,0.3,192,0,1,684780,1720,0,3,45,4,0,0,0,0,0,197,63,9,75,197,50,py=22826,135,831,7826,2484,9.8,27635,170,22826,6,12,0,0,0,8,0,12,0,5
gradio,2022/6/13,9044,35,32.4,8,1867,1821,10,4,2,7535,7535,0,0,0.2,193,0,1,690180,1724,0,3,45,4,0,0,0,0,0,198,64,9,75,198,50,py=23006,136,834,7922,2549,10,27901,171,23006,6,12,0,0,0,11,0,12,0,5
gradio,2022/6/20,9044,35,31.8,8,1914,1851,10,4,2,7715,7715,0,0,0.3,198,0,1,699120,1774,0,3,45,4,0,0,0,0,0,203,67,9,75,203,52,py=23304,137,865,8115,2694,10.4,28397,177,23304,6,12,0,0,0,11,0,12,0,5
gradio,2022/6/27,9044,35,31.8,8,1917,1849,10,4,2,7725,7725,0,0,0.3,199,0,1,699720,1775,0,3,45,4,0,0,0,0,0,204,67,9,75,204,53,py=23324,137,867,8125,2694,10.4,28423,178,23324,6,12,0,0,0,11,0,11,0,5
gradio,2022/7/4,9068,35,31.7,8,1962,1842,10,4,2,7796,7796,0,0,0.2,208,0,1,699990,1742,0,3,45,4,0,0,0,0,0,213,84,8,68,213,53,py=23333,140,895,8212,2843,10.9,28645,181,23333,6,12,0,0,0,11,0,11,0,5
gradio,2022/7/11,9126,37,31.7,10,1985,1880,10,4,2,7900,7900,0,0,0.2,208,0,1,703590,1747,0,3,45,4,0,0,0,0,0,213,84,8,68,213,53,py=23453,148,900,8317,2846,10.8,28806,182,23453,6,4,0,0,0,9,0,11,0,2
gradio,2022/7/18,9068,35,30.9,8,2010,1896,10,4,2,8138,8138,0,0,0.2,214,0,1,714030,1785,0,3,45,4,0,0,0,0,0,219,85,8,73,219,53,py=23801,155,916,8557,2898,10.9,29326,181,23801,6,4,0,0,0,9,0,10,0,2
gradio,2022/7/25,9068,35,30.7,8,2032,1927,10,4,2,8257,8257,0,0,0.3,218,0,1,719790,1863,0,3,45,4,0,0,0,0,0,223,86,8,75,223,54,py=23993,161,923,8678,2931,10.9,29545,181,23993,6,4,0,0,0,9,0,11,0,2
gradio,2022/8/1,9068,35,30.4,8,2049,1949,15,4,3,8323,8323,0,0,0.3,218,0,1,723480,1866,0,3,45,4,0,0,0,0,0,224,85,8,76,224,55,py=24116,162,931,8766,3116,11.4,29878,181,24116,6,3,0,0,0,9,0,11,0,2
gradio,2022/8/8,9149,37,29.8,8,2105,1984,40,5,8,8618,8618,0,0,0.3,230,0,1,744270,1876,0,3,45,4,0,0,0,0,1,241,92,16,77,241,55,py=24809,170,962,9066,3161,11.3,30728,184,24809,6,2,0,0,0,0,0,0,0,0
gradio,2022/8/15,9149,37,29.3,8,2161,2021,40,5,8,8803,8803,0,0,0.3,229,0,1,753750,1894,0,3,45,4,0,0,0,0,1,240,88,18,79,240,54,py=25125,177,989,9262,3252,11.5,31209,189,25125,6,2,0,0,0,0,0,0,0,0
gradio,2022/8/22,9165,36,29.4,10,2141,2025,40,4,8,8713,8713,0,0,0.3,217,0,1,753840,1947,0,3,45,4,0,0,0,0,0,228,87,6,82,228,53,py=25128,182,958,9152,3193,11.3,31169,198,25128,6,2,0,0,0,7,0,0,0,0
gradio,2022/8/29,9065,34,28.7,10,2190,2066,40,4,8,8933,8933,0,0,0.3,222,0,1,763320,1977,0,3,45,4,0,0,0,0,0,233,90,4,83,233,56,py=25444,182,984,9376,3204,11.2,31548,204,25444,6,2,0,0,0,7,0,0,0,0
gradio,2022/9/5,9061,34,28.2,10,2261,2150,40,4,8,9224,9224,0,0,0.3,225,0,1,776550,2013,0,3,45,4,0,0,0,0,0,236,93,5,83,236,55,py=25885,186,1007,9668,3220,11.1,32090,208,25885,6,2,0,0,0,7,0,0,0,0
gradio,2022/9/12,9151,36,27.1,12,2383,2215,40,4,8,10047,10047,0,0,0.3,253,0,1,818310,2142,0,3,45,4,0,0,0,0,0,264,105,4,85,264,70,py=27277,206,1083,10495,3279,10.7,33769,213,27277,7,2,0,0,0,7,0,7,0,0
gradio,2022/9/19,9151,36,26.6,12,2435,2238,40,4,8,10280,10280,0,0,0.3,253,0,1,832950,2142,0,3,45,4,0,0,0,0,0,264,105,4,86,264,69,py=27765,206,1112,10731,3294,10.6,34345,218,27765,7,2,0,0,0,7,0,7,0,0
gradio,2022/9/26,9151,36,26.5,12,2466,2281,40,4,8,10382,10382,0,0,0.3,254,0,1,837930,2150,0,3,45,4,0,0,0,0,0,265,105,4,86,265,70,py=27931,206,1120,10836,3315,10.6,34558,220,27931,7,2,0,0,0,7,0,6,0,0
gradio,2022/10/3,9083,34,26.1,10,2489,2289,40,4,8,10501,10501,0,0,0.2,245,0,1,844110,1957,0,3,45,4,0,0,0,0,0,256,108,4,74,256,70,py=28137,208,1134,10958,3311,10.5,34799,222,28137,7,2,0,0,0,7,0,6,0,0
gradio,2022/10/10,9083,34,26.1,10,2459,2197,40,4,8,10464,10464,0,0,0.2,235,0,1,845760,1889,0,4,50,4,0,0,0,0,0,247,103,4,73,247,67,py=28192,235,1144,10912,3293,10.5,34867,223,28192,4,0,0,0,0,7,0,6,0,0
gradio,2022/10/17,9083,34,26,10,2470,2207,40,4,8,10542,10542,0,0,0.2,236,0,1,848700,1898,0,4,50,4,0,0,0,0,0,248,104,4,73,248,67,py=28290,236,1149,10990,3295,10.4,34983,224,28290,4,0,0,0,0,7,0,6,0,0
gradio,2022/10/24,9589,46,26.4,11,2647,2411,55,5,10,11236,11236,0,0,0.3,258,0,1,881790,2297,0,4,50,4,0,0,0,0,1,272,118,4,81,272,68,py=29393,243,1211,11686,3373,10.3,36370,231,29393,4,0,0,0,0,7,0,7,0,0
gradio,2022/10/31,9819,60,26.5,12,2660,2420,55,5,10,11304,11304,0,0,0.3,262,0,1,899940,2451,0,4,50,4,0,0,0,0,1,276,127,3,77,276,68,py=29998,246,1212,11752,3379,10.1,37010,229,29998,4,0,0,0,0,7,0,7,0,0
gradio,2022/11/7,9819,60,26.7,12,2654,2435,100,5,19,11322,11322,0,0,0.3,242,0,1,896700,2436,0,3,45,4,0,0,0,0,1,264,134,3,76,264,50,py=29890,248,1203,11766,3332,10,36830,228,29890,4,0,0,0,0,7,0,7,0,0
gradio,2022/11/14,9821,60,26.4,12,2691,2457,100,5,19,11457,11457,0,0,0.3,244,0,1,903870,2464,0,3,45,4,0,0,0,0,1,266,136,3,76,266,50,py=30129,248,1230,11903,3353,10,37140,234,30129,4,0,0,0,0,6,0,7,0,0
gradio,2022/11/21,9931,62,26.6,12,2728,2516,100,5,19,11571,11571,0,0,0.3,249,0,1,909570,2499,0,3,45,4,0,0,0,0,1,271,137,3,80,271,50,py=30319,250,1240,12021,3383,10,37393,235,30319,4,0,0,0,0,6,0,7,0,0
gradio,2022/11/28,9913,64,26.2,12,2754,2542,100,5,19,11741,11741,0,0,0.3,253,0,1,921060,2533,0,3,45,4,0,0,0,0,1,275,139,3,81,275,51,py=30702,253,1252,12195,3411,10,37857,237,30702,4,1,0,0,0,6,0,7,0,0
gradio,2022/12/5,9949,67,25.8,12,2813,2591,105,5,20,11953,11953,0,0,0.3,257,0,1,935700,2603,0,3,45,4,0,0,0,0,1,280,144,3,82,280,50,py=31190,256,1274,12415,3501,10.1,38489,239,31190,4,1,0,0,0,6,0,7,0,0
gradio,2022/12/12,9983,67,25.6,12,2848,2611,100,5,19,12166,12166,0,0,0.3,255,0,1,946260,2612,0,3,45,4,0,0,0,0,1,277,142,2,83,277,49,py=31542,257,1293,12631,3539,10.1,38940,242,31542,4,1,0,0,0,6,0,7,0,0
gradio,2022/12/19,10092,74,25.3,12,2924,2678,100,5,19,12455,12455,0,0,0.3,259,0,1,967320,2685,0,3,45,4,0,0,0,0,1,281,145,2,84,281,49,py=32244,259,1318,12925,3624,10.1,39823,246,32244,4,1,0,0,0,6,0,7,0,0
gradio,2022/12/26,10509,87,25.6,15,3130,2926,95,4,18,13011,13011,0,0,0.3,268,0,1,996600,2684,0,3,45,4,0,0,0,0,0,289,143,1,86,289,59,py=33220,262,1368,13493,3780,10.2,41027,252,33220,4,1,0,0,0,6,0,7,0,0
gradio,2023/1/2,10227,81,24.9,13,3117,2902,95,4,18,13023,13023,0,0,0.3,263,0,1,996750,2612,0,3,45,4,0,0,0,0,0,284,141,1,85,284,57,py=33225,262,1372,13503,3776,10.2,41014,255,33225,4,1,0,0,0,6,0,7,0,0
gradio,2023/1/9,10227,81,24.9,13,3119,2902,95,4,18,13039,13039,0,0,0.3,263,0,1,997560,2611,0,3,45,4,0,0,0,0,0,284,141,1,85,284,57,py=33252,262,1374,13519,3778,10.2,41048,255,33252,4,1,0,0,0,6,0,7,0,0
gradio,2023/1/16,10289,83,24.5,14,3179,2958,95,4,18,13325,13325,0,0,0.3,270,0,1,1020540,2671,0,3,45,4,0,0,0,0,0,291,144,1,88,291,58,py=34018,265,1398,13806,3792,10,41911,260,34018,4,1,0,0,0,6,0,7,0,0
gradio,2023/1/23,10289,83,24.4,14,3207,2986,95,4,18,13438,13438,0,0,0.3,271,0,1,1025340,2676,0,3,45,4,0,0,0,0,0,292,144,1,88,292,59,py=34178,270,1410,13919,3796,10,42115,260,34178,4,1,0,0,0,6,0,7,0,0
gradio,2023/1/30,10289,83,24.3,14,3241,3008,95,4,18,13564,13564,0,0,0.3,273,0,1,1031340,2681,0,3,45,4,0,0,0,0,0,294,144,1,88,294,61,py=34378,273,1429,14046,3799,10,42375,260,34378,4,1,0,0,0,6,0,7,0,0
gradio,2023/2/6,10289,83,24.1,14,3281,3050,95,4,18,13739,13739,0,0,0.3,274,0,1,1040160,2709,0,3,45,4,0,0,0,0,0,295,144,1,89,295,61,py=34672,274,1448,14221,3825,9.9,42739,260,34672,4,1,0,0,0,6,0,8,0,0
gradio,2023/2/13,10442,95,23.9,14,3349,3106,95,4,18,14041,14041,0,0,0.3,280,0,1,1061580,2794,0,3,45,4,0,0,0,0,0,301,148,1,91,301,61,py=35386,277,1476,14528,3907,9.9,43600,264,35386,4,1,0,0,0,6,0,8,0,1
